availability,in_stock,number_of_reviews,price,price_excl_tax,price_incl_tax,product_description,product_type,tax,title,upc,url
,,,,2 999 ₽,RUB 899 ₽,,,,"Беспроводной прожектор ""Ястреб"" от Leomax",,https://www.leomax.ru/goods/bbesprovodnoy_prozhektor_yastreb_ot_leomax_2_sht_group-id_1830556/
,,,,6 999 ₽,RUB 2 999 ₽,"Отремонтируйте стены вашего дома всего за один час своими руками. Вам не нужны специальные навыки, инструменты и помощники. Никакой краски, клея и цемента. С гибкими панелями 3D «Премиум» отремонтировать стены сможет каждый.",,,"Гибкие настенные панели 3D ""Премиум""",,https://www.leomax.ru/goods/gibkie_nastennye_paneli_3d_premium_group-id_2015519/
,,,,2 199 ₽,RUB 1 799 ₽,,,,"Самоочищ. швабра ""Проще простого""  с ведром",,https://www.leomax.ru/goods/samoochishchayushchayasya_shvabra_proshche_prostogo_s_vedrom_group-id_1830883/
,,,,1 799 ₽,RUB 1 299 ₽,,,,"Лейка для душа ""Летний дождь""",,https://www.leomax.ru/goods/leyka_dlya_dusha_letniy_dozzhd_group-id_1901817/
,,,,2 499 ₽,RUB 1 799 ₽,"Средство предназначено для  удаления загрязнений в доме, в автомобиле, на бытовой технике и инструментах. Вы  можете использовать средство концентрированным, после смыть состав водой, или в  разведенном виде (не требует смывания, не оставляет разводов и подтеков). Идеально подойдет на кухне для  удаления жира, грязи с кухонных раковин, сантехники и очистки керамических и  стеклянных варочных панелей. Удалит известковый налет в душевых кабинах,  ваннах, раковинах, на стекле и других подобных поверхностях. Добавьте средство  в воду и помойте без разводов полы из керамической плитки, кафеля,  ламинированной доски, любых видов паркета и линолеума. Разведите средство водой  и возьмите с собой для очистки автомобиля.   1. Благодаря сбалансированной  формуле подходит для очищения всех видов поверхностей 2. Расходуется экономично, поэтому  его хватит на долгое время 3. Средство не токсично, за счет  чего безопасно в использовании   Размер: канистра с концентратом  объемом 3 л, дозатор и распылитель 500 мл Состав: 5-15% Анионных Поверхностно-Активных Веществ (Неионны), <5% Мыла, Ароматизаторы (Hexyl cinnamal), Консервант (Феноксиэтанол) Страна-производитель: Германия Срок хранения: 3 года",,,"Универсальное чистящее средство 4 в 1, 3 л",,https://www.leomax.ru/goods/universalnoe_chistyashchee_sredstvo_4_v_1_3_l_group-id_2207826/
,,,,1 999 ₽,RUB 1 299 ₽,"Концентрированное  средство Jundo эффективно и легко удаляет следы пальцев, пылевые, жировые и  другие виды загрязнений. Качественно полирует поверхность, оставляя идеальную  чистоту и блеск. Композиция эфирных масел дезодорирует помещение и дарит приятный шлейф легкого аромата экзотических фруктов.    1.    Подходит для ухода за стеклом,  зеркалами, мебелью, плиткой, хромированными и другими глянцевыми поверхностями. 2.    Не оставляет разводов. 3.    Не требует смывания.   Объем: 3 х  500 мл Страна-производитель:  Россия Срок годности: 2 года Способ  применения: распылить концентрированное средство Jundo наа стекло или другую  зеркальную поверхность и протереть сухой тканью. Не требует смывания Состав:  вода, Изопропанол, Гликолевый Эфир, Н-ПАВ, Динатриевая ЭДТА, лимонная кислота,  Метилхлоризотиазолинон, отдушка",,,"Набор средств для мытья стекол и зеркал, 3 шт",,https://www.leomax.ru/goods/nabor_sredstv_dlya_mytya_stekol_i_zerkal_3_sht_group-id_2206165/
,,,,6 299 ₽,RUB 2 199 ₽,,,,"Самоклеящиеся панели ""Хорошая идея"", 11 шт",,https://www.leomax.ru/goods/samokleyashchayasya_mozaika_group-id_2125408/
,,,,5 999 ₽,RUB 3 499 ₽,"Хотите за  несколько минут преобразить интерьер? Знакомьтесь, стеновые панели «Красота и  Уют» привнесут роскошный стиль без особых усилий и навыков! Гибкие панели вы  без проблем наклеите их на любые углы или в ниши.  1.  Помогут легко и быстро преобразовать  интерьер. 2.  Не требуется покупать клей. 3.  Не боятся влаги и легко моются. Материал:  вспененный полиэтилен с поперечными связями Размер: 70 х  77 см Комплектация:  10 шт. Нельзя  использовать рядом с открытым огнем и нагревающимися элементами! Температурный  режим: от -30 до +80 градусов Срок  годности: 3 года Страна-производитель:  Китай",,,"Стеновые панели ""Красота и Уют"", 10 шт.",,https://www.leomax.ru/goods/stenovye_paneli_krasota_i_uyut_10_sht_group-id_2213962/
,,,,3 999 ₽,RUB 3 499 ₽,"Хотите за несколько  минут преобразить интерьер? Знакомьтесь, стеновые панели «Красота и Уют»  привнесут роскошный стиль без особых усилий и навыков! Гибкие панели вы без  проблем наклеите их на любые углы или в ниши.  1.    Помогут легко и быстро преобразовать  интерьер. 2.    Не требуется покупать клей. 3.    Не боятся влаги и легко моются. Состав  материала: вспененный поливинилхлорид Размер: 77 x  70 x 0,6 см Комплектация:  10 шт. в упаковке Страна-производитель:  Китай",,,"Стеновые панели ""Красота и Уют""",,https://www.leomax.ru/goods/stenovye_paneli_krasota_i_uyut_group-id_2211337/
,,,,4 999 ₽,RUB 4 499 ₽,"Знакомьтесь,  вертикальный пылесос циклонного типа, изготовленный в соответствии с высокими  требованиями к качеству, функциональности и дизайну. Легкий и практичный  вертикальный пылесос создан для быстрой уборки квартиры или дачи. Мощное  изделие имеет модификацию 2 в 1, сочетает в себе вертикальный и ручной пылесос.  Он оборудован двумя съемными удлинительными металлическими трубками для Вашего  удобства. Теперь уборка стала еще быстрее и легче! 1.  Мощность всасывания ― 180 Вт. 2.  Прозрачный пылесборник ― 0,6 л. 3.  Три насадки в комплекте. Мощность:  600 Вт Мощность  всасывания: 180 Вт Прозрачный  пылесборник 0,6 л Уровень  шума: 69 Дб Длина шнура:  4 метра Размер  пылесоса: 39*12*12 см Комплектация:  насадкой-щетка, узкая насадка, малая насадка-щетка, пылесос  Гарантия: 1 год Страна-производитель:  Китай",,,"Вертикальный пылесос 2 в 1 ""Супер чисто""",,https://www.leomax.ru/goods/vertikalnyy_pylesos_2_v_1_super_chisto_group-id_2214580/
,,,,1 999 ₽,RUB 1 499 ₽,"Самоклеящиеся  рулонные обои идеально замаскируют все недостатки и неровности стен, а также  скроют все шероховатости покрытия. Клеятся легко и быстро, без предварительной  обработки стены. С такой задачей справится даже сама домохозяйка. Самоклеящиеся  рулонные обои легко моются и сохранят чистоту Вашей комнаты надолго без лишних  хлопот.  1.    Клеится на любую поверхность. 2.    Замаскирует все недостатки и  неровности стен. 3.    Обладает тепло- и звукоизоляционными  свойствами. Материал:  ПВХ на клеевой основе Размер: 3000  x 600 x 2 мм Комплектация:  1 рулон Площадь  покрытия: 1,8 м² Особенности:  фольгированный слой Вес: 500 г Страна-производитель:  Китай",,,Самоклеящееся покрытие для стен в рулонах,,https://www.leomax.ru/goods/samokleyashchiesya_pokrytie_dlya_sten_v_rulonakh_group-id_2209459/
,,,,2 599 ₽,RUB 1 799 ₽,,,,"Набор натуральных удобрений ""Богатый урожай""",,https://www.leomax.ru/goods/nabor_naturalnykh_udobreniy_bogatyy_urozhay-double-1_group-id_2203910/
,,,,6 999 ₽,RUB 6 999 ₽,,,,"Набор инструментов ""Мастак""",,https://www.leomax.ru/goods/nabor_instrumentov_mastak_group-id_1501854/
,,,,999 ₽,RUB 799 ₽,"Устраняет мыльный налет, грязь,  неприятные запахи и плесень.    1. Удобно 2. Не повреждает детали машины 3. Устраняет загрязнения и запахи   Комплектация: 400 мл Страна-производитель: Республика  Корея   Залейте средство в барабан  стиральной машины и запустите обычную стирку (стирка, полоскание, отжим). В  машинах с вертикальной загрузкой обязательно проследите, чтобы уровень воды в  барабане был максимальный. Рекомендуется запустить еще один цикл стирки без  чистящих средств и белья (повторите до 2-3 раз в случае необходимости).",,,Средство чистящее для барабанов,,https://www.leomax.ru/goods/sredstvo_chistyashchee_dlya_barabanov_group-id_1900215/
,,,,1 999 ₽,RUB 999 ₽,,,,"Ручной культиватор ""ТОРНАДИКА""",,https://www.leomax.ru/goods/ruchnoy_kultivator_tornadica_mini_95_sm_group-id_2004579/
,,,,2 399 ₽,RUB 1 799 ₽,,,,"Универсальный концентрированный порошок, 4 кг",,https://www.leomax.ru/goods/universalnyy_kontsentrirovannyy_poroshok_4_kg_group-id_2209255/
,,,,1 799 ₽,RUB 999 ₽,"Магнитная щетка для мытья окон. Одновременно моет, вытирает и полирует стеклянную поверхность окна. Вы держите в руках одну щетку со специальной анатомической ручкой и водите ею по внутренней поверхности стекла. Вторая щетка, закрепленная снаружи, повторяет ваши движения, благодаря встроенному магниту. Теперь не нужно высовываться по пояс из окна, пытаясь достать все углы.   1. Имеет полимерные вставки 2. Легко фиксируется на запястье страховочным шнуром 3. Не царапает и не повреждает стекла 4. Отмывает любые загрязнения с обеих сторон сразу 5. Подходит даже для мытья окон с решетками   Материал корпуса: пластик, металл Размер: 160 х 35 мм Комплектация: щетка, сменные насадки (комплект), инструкция Страна-производитель: Китай",,,"Щетка магнитная для окна ""Проще простого""",,https://www.leomax.ru/goods/shchetka_magnitnaya_dlya_okna_proshche_prostogo-double-2_group-id_2215600/
,,,,6 999 ₽,RUB 6 499 ₽,,,,"Гибкие настенные панели 3D ""Премиум"", 20 шт.",,https://www.leomax.ru/goods/nastennye_paneli_3d_premium_group-id_2112430/
,,,,1 299 ₽,RUB 999 ₽,"Универсальные  и очень практичные ключи станут Вашими помощниками в быту! Они подходит для  болтов и гаек любой конфигурации, а также удобны в применении ― не проскальзывают на гладких поверхностях. 1.  Универсальность: 2 ключа заменяют 23. 2.  Автозахват: ключи сами адаптируются к  размеру и форме крепежа. 3.  Удобная прорезиненная рукоять. Материал:  металл Размер(ДхШхВ):  25*5*19 см Комплектация:  2 шт. Страна-производитель:  Китай Вес: 612 г",,,"Супер ключи "" Стальная хватка """,,https://www.leomax.ru/goods/super_klyuchi_stalnayya_khvatka_group-id_2212319/
,,,,1 799 ₽,RUB 1 199 ₽,,,,"Щётка универсальная ""Ворсинка""",,https://www.leomax.ru/goods/shchyetka_universalnaya_vorsinkaa_group-id_1824001/
,,,,1 999 ₽,RUB 999 ₽,,,,Гель для мытья пола,,https://www.leomax.ru/goods/gel_dlya_mytya_pola_group-id_2200607/
,,,,2 499 ₽,RUB 1 799 ₽,"Напольная полка-этажерка  имеет раздвижную конструкцию, собирается и крепится без сверления, облегчает  размещение различных предметов. Стеллаж прекрасно подойдет для ванны, туалета,  кухни, комнаты, его можно использовать на даче и в офисе. Полка для  микроволновки организует порядок на кухне. Используйте практичную полку в  качестве настольной подставки для посуды, кухонного инвентаря, бумажных  полотенец, крышек от кастрюль, тарелок, столовых приборов и других принадлежностей. 1.  Собирается и крепится без сверления. 2.  Это эргономичный кухонный держатель. 3.  Узкая, но вместительная конструкция.  Материал:  алюминий и abc-пластик (крепежные угловые элементы) Размер: 50 x  70 x 40 см (ширина раздвижной полки от 50 до 70 см) Комплектация:  кухонная полка  Страна-производитель:  Китай",,,Раздвижная полка-стеллаж,,https://www.leomax.ru/goods/razdvizhnaya_polka_stellazh_group-id_2302619/
,,,,1 999 ₽,RUB 1 799 ₽,"Благодаря 4  различным насадкам вы сможете вымыть окна, удалить пыль и выполнить уборку в  труднодоступных местах. Насадка для мытья окон сделана из микрофибры. Это  мягкий материал, который эффективно убирает загрязнения, ее ультратонкие  волокна проникают в мельчайшие поры, идеально очищая любые поверхности. При  этом ткань очень хорошо устраняет загрязнения, что позволит сэкономить на  чистящих средствах. Ткань из микрофибры отлично впитывает жидкости, не  оставляет разводов и не царапает пол. 1.  Эргономичный дизайн. 2.  Легкая и быстрая уборка. 3.  Подходит для всех видов поверхностей. 4.  Регулируемая длина ручки от 60 до 110  см. Материал:  пластик, металл Размер:  64*6,7*13,7 см Комплектация:  швабра, насадка для мытья окон, скребок, насадка для труднодоступных мест  (сухая уборка, от пыли и грязи), насадка для удаления пыли Страна-производитель:  Китай",,,Швабра 4 в 1 для влажной и сухой уборки,,https://www.leomax.ru/goods/shvabra_4_v_1_dlya_vlazhnoy_i_sukhoy_uborki_group-id_2301749/
,,,,1 799 ₽,RUB 1 499 ₽,"Экологичный концентрированный  стиральный порошок эффективно устраняет загрязнения и одновременно бережно  ухаживает за одеждой и бельем. Не содержит красителей и ароматизаторов. Порошок  подходит для стирки детского белья, он полностью вымывается, не оставляя следов  моющего средства на ткани. 1.  Устраняет 99,9% загрязнений. 2.  Безопасен для человека и окружающей  среды. 3.  Подходит для всех видов белья. Комплектация: 1000 г Аромат:  освежающий Срок  годности: 36 месяцев Страна-производитель:  Республика Корея",,,Универсальный концентрированный порошок,,https://www.leomax.ru/goods/universalnyy_kontsentrirovannyy_poroshok_3_sht_group-id_2215566/
,,,,1 499 ₽,RUB 1 199 ₽,,,,Экономитель воды на кран,,https://www.leomax.ru/goods/ekonomayzer_vody_group-id_2119630/
,,,,3 499 ₽,RUB 1 699 ₽,,,,"Гирлянда ""Дед Мороз""",,https://www.leomax.ru/goods/girlyanda_ded_morozz_group-id_2125889/
,,,,3 499 ₽,RUB 2 999 ₽,"Хотите за  несколько минут преобразить интерьер? Знакомьтесь, стеновые панели «Безмятежное  созерцание» привнесут роскошный стиль без особых усилий и навыков! Гибкие  панели вы без проблем наклеите их на любые углы или в ниши.  1. Помогут  легко и быстро преобразовать интерьер. 2. Не  требуется покупать клей. 3. Не боятся  влаги и легко моются. Материал:  вспененный поливинилхлорид Размер: 77 x  70 см Толщина: 6  мм Температурный  режим: 0т -30 до +80 гр Комплектация:  6 шт. Страна-производитель:  Китай",,,"Стеновые панели ""Безмятежное созерцание""",,https://www.leomax.ru/goods/stenovye_paneli_bezmyatezhnoe_sozertsanie_group-id_2301387/
,,,,1 799 ₽,RUB 1 499 ₽,"1. Устраняет 99,9% загрязнений. 2.  Безопасен для человека и окружающей  среды. 3.  Подходит для всех видов белья. Комплектация:  3 шт. х 1 кг Срок годности: 36 месяцев Страна-производитель:  Республика Корея",,,"Универсальный концентрированный порошок, 3шт",,https://www.leomax.ru/goods/universalnyy_kontsentrirovannyy_poroshok_3_shtt_group-id_2215821/
,,,,1 599 ₽,RUB 1 299 ₽,,,,Жидкость чистящая для ванны  2 шт,,https://www.leomax.ru/goods/jidkost-chistashaya-dlya-vanni_group-id_2118958/
,,,,1 499 ₽,RUB 999 ₽,,,,"Универсальный отбеливатель, 3 шт.",,https://www.leomax.ru/goods/khlornyy_otbelivatel_sila_khlora_3_sht_group-id_2117881/
,,,,11 999 ₽,RUB 6 999 ₽,Самоклеящееся  покрытие из ПВХ ― это прекрасное дизайнерское и  технологическое решение для отделки частного или коммерческого помещения.  Основная особенность покрытия достигается за счёт уже имеющейся клейкой основы.  При загрязнении достаточно вымыть их щеткой или влажной тканевой салфеткой. Одного комплекта хватает на 5 кв.м.   1.    Класс пожарной безопасности К17. 2.    Пять стильных расцветок. 3.    Отсутствие вредных испарений. Материал:  ПВХ Размер: 30 x  60 см Толщина:  -0.15 см Температурный режим: от -20  до + 40 Комплектация:  1 шт. Страна-производитель:  Китай,,,Универсальное декоративное покрытие,,https://www.leomax.ru/goods/universalnoe_dekorativnoe_pokrytie_group-id_2206570/
,,,,3 499 ₽,RUB 1 999 ₽,"Напольная вешалка  идеально впишется в пространство вашего дома, дачи, квартиры, комнаты, кухни,  ванной, балкона, гардероба, зала, кабинета, спальной, лоджии, а также даже  офиса и бани. Это удобная система хранения одежды и правильная организация  пространства. Полка компактная, вместительная, не занимает много места,  предназначена для хранения сумок, шляп, пиджаков, рубашек, платьев, брюк, шарфов  и других вещей. Вешалка прекрасно впишется в любой интерьер.   1.  Не занимает много места. 2.  Отлично дополнит интерьер в стиле  лофт и минимализм. 3.  Из высокопрочного металла,  устойчивая, надежная, выдержит нагрузку до 40 кг.   Материал  вешалки: металл Материал  полок: плотная непромокаемая ткань Материал  рейлов: металл, с антикоррозийным покрытием Размер: 80 x  28 x 175 см Комплектация:  полка (разборная) Страна-производитель:  Китай",,,Полка складная для одежды и обуви,,https://www.leomax.ru/goods/polka_skladnaya_dlya_odezhdy_i_obuvi_group-id_2302609/
,,,,2 499 ₽,RUB 1 199 ₽,,,,"Фильтр для воды ""Природный источник""",,https://www.leomax.ru/goods/filtr_dlya_vody_prirodnyy_istochnik_group-id_2207487/
,,,,1 999 ₽,RUB 799 ₽,,,,"Корзина складная с 2 ручками, 9л",,https://www.leomax.ru/goods/kkorzina_skladnaya_s_2_ruchkami_9l_group-id_2012639/
,,,,1 799 ₽,RUB 1 299 ₽,,,,Набор ГуматЭМ,,https://www.leomax.ru/goods/nabor_gumatem_group-id_2203912/
,,,,799 ₽,RUB 499 ₽,,,,"Удобрение для корневой, внекорневой подкормки",,https://www.leomax.ru/goods/udobrenie_dlya_kornevoy_vnekornevoy_podkormki_group-id_2202850/
,,,,1 499 ₽,RUB 1 299 ₽,,,,"Универсальный спрей для всех поверхностей,2шт",,https://www.leomax.ru/goods/universalnyy_sprey_dlya_vsekh_poverkhnostey_2sht_group-id_2216391/
,,,,1 599 ₽,RUB 1 299 ₽,"Кислородный  отбеливатель бережно и эффективно удаляет въевшиеся пятна, придает сияние белым  вещам, не повреждая структуру ткани даже при частых стирках. Активный кислород  проникает глубоко в волокна ткани и легко справляется с пятнами от тональных  средств, помады, кофе, вина, шариковой ручки, йода, зелёнки, крови, жирных  пятен, травы, пищи и жевательной резинки. 1.  Эффективно удаляет въевшиеся пятна. 2.  Укрепляет ткани и препятствует их  износу. 3.   Обеззараживает и нейтрализует запахи. Комплектация: 2 шт. х 500 мл Страна-производитель: Россия   Стирка: добавьте 3 мерных ложки средства при загрузке в  стиральную машину. Безопасен для цветных изделий и не ослабляет волокна. Не  используйте вместе с отбеливателем, содержащим хлор.  Выведение пятен и замачивание: добавьте 3 мерных ложки  средства к 2 литрам горячей воды. Для лучшего результата используйте воду с  температурой не менее 60 градусов.",,,"Кислородный отбеливатель ""Белый бриллиант""2шт",,https://www.leomax.ru/goods/kislorodnyy_otbelivatel_belyy_brilliant_2sht_group-id_2215293/
,,,,1 599 ₽,RUB 1 299 ₽,"Главным  преимуществом жидкого концентрата перед средствами для стирки ― это экономичный расход, который достигается за счет большого  количества активных компонентов. Благодаря содержанию натуральных экстрактов  (зеленого чая, соевого масла, алоэ и глицерина) продукт безопасен для  окружающей среды и легко разлагается. Эффективное средство справится с пятнами  любой сложности!  1.  Входящее в состав эфирное масло,  устраняет неприятные запахи и позволяет сохранить освежающий аромат лаванды. 2.  Усиленная формула способствуют  удалению трудно выводимых загрязнений и пятен с тканей.  3.  Продукт не содержит спирта, синтетических  красителей и агрессивных компонентов.   Объем: 1,2 л Комплектация:  2 шт. Срок  годности: 3 года Страна-производитель:  Республика Корея",,,"Гель-концентрат для стирки, 2 шт.",,https://www.leomax.ru/goods/gel_kontsentrat_dlya_stirki_2sht_group-id_2215156/
,,,,1 899 ₽,RUB 599 ₽,"Эффективное  средство для качественной уборки станет Вашим помощником в борьбе с различными  загрязнениями. Идеальная чистота всего за несколько минут! 1.  Удаляет неприятные запахи, ржавчину,  мочевой камень, известковые отложения, жировые и масляные загрязнения. 2.  Подходит для кафеля, стекла, мягких  металлов и хрома. 3.  Не оставляет следов и разводов. Комплектация:  2 шт. х 750 мл Срок  годности: 36 месяцев Страна-производитель:  Россия",,,"Моющее средство ""Чистая сантехника"", 2 шт",,https://www.leomax.ru/goods/moyushchee_sredstvo_chistaya_santekhnika_2_sht_group-id_2215095/
